# Chunk-averaged data for fix chunk2 and group anion
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
5000 272 16320
  1 -67.75 0 0
  2 -67.25 0 0
  3 -66.75 0 0
  4 -66.25 0 0
  5 -65.75 0 0
  6 -65.25 0 0
  7 -64.75 0 0
  8 -64.25 0 0
  9 -63.75 0 0
  10 -63.25 0 0
  11 -62.75 0 0
  12 -62.25 0 0
  13 -61.75 0 0
  14 -61.25 0 0
  15 -60.75 0 0
  16 -60.25 0 0
  17 -59.75 0 0
  18 -59.25 0 0
  19 -58.75 0 0
  20 -58.25 0 0
  21 -57.75 0 0
  22 -57.25 0 0
  23 -56.75 0 0
  24 -56.25 0 0
  25 -55.75 0 0
  26 -55.25 0 0
  27 -54.75 0 0
  28 -54.25 0 0
  29 -53.75 0 0
  30 -53.25 0 0
  31 -52.75 0 0
  32 -52.25 0 0
  33 -51.75 0 0
  34 -51.25 0.54902 0.000991296
  35 -50.75 1.72549 0.0031155
  36 -50.25 1.21569 0.00219501
  37 -49.75 1.45098 0.00261985
  38 -49.25 1 0.00180558
  39 -48.75 1.29412 0.00233663
  40 -48.25 1.98039 0.00357575
  41 -47.75 2 0.00361115
  42 -47.25 1.19608 0.00215961
  43 -46.75 1.60784 0.00290308
  44 -46.25 2.11765 0.00382357
  45 -45.75 2.31373 0.00417761
  46 -45.25 1.86275 0.00336333
  47 -44.75 1.31373 0.00237203
  48 -44.25 1.29412 0.00233663
  49 -43.75 1.05882 0.00191179
  50 -43.25 1.17647 0.00212421
  51 -42.75 0.882353 0.00159315
  52 -42.25 1.05882 0.00191179
  53 -41.75 1.5098 0.00272607
  54 -41.25 1.4902 0.00269066
  55 -40.75 1.80392 0.00325712
  56 -40.25 1.90196 0.00343413
  57 -39.75 1.54902 0.00279687
  58 -39.25 1.31373 0.00237203
  59 -38.75 2.03922 0.00368196
  60 -38.25 1.39216 0.00251364
  61 -37.75 0.627451 0.00113291
  62 -37.25 0.901961 0.00162856
  63 -36.75 1.35294 0.00244284
  64 -36.25 1.17647 0.00212421
  65 -35.75 1.45098 0.00261985
  66 -35.25 1.56863 0.00283228
  67 -34.75 1.54902 0.00279687
  68 -34.25 2.05882 0.00371736
  69 -33.75 1.68627 0.0030447
  70 -33.25 1.2549 0.00226582
  71 -32.75 1.80392 0.00325712
  72 -32.25 1.86275 0.00336333
  73 -31.75 1.2549 0.00226582
  74 -31.25 1 0.00180558
  75 -30.75 1.35294 0.00244284
  76 -30.25 1.13725 0.0020534
  77 -29.75 1.88235 0.00339873
  78 -29.25 1.76471 0.00318631
  79 -28.75 1.80392 0.00325712
  80 -28.25 1.31373 0.00237203
  81 -27.75 1.76471 0.00318631
  82 -27.25 1.35294 0.00244284
  83 -26.75 1.23529 0.00223042
  84 -26.25 0.901961 0.00162856
  85 -25.75 1.35294 0.00244284
  86 -25.25 2.07843 0.00375277
  87 -24.75 1.72549 0.0031155
  88 -24.25 1.96078 0.00354034
  89 -23.75 2.45098 0.00442543
  90 -23.25 2.11765 0.00382357
  91 -22.75 1.58824 0.00286768
  92 -22.25 1.45098 0.00261985
  93 -21.75 1.27451 0.00230122
  94 -21.25 1.41176 0.00254905
  95 -20.75 1.33333 0.00240743
  96 -20.25 1.43137 0.00258445
  97 -19.75 2.03922 0.00368196
  98 -19.25 1.4902 0.00269066
  99 -18.75 1.35294 0.00244284
  100 -18.25 1.31373 0.00237203
  101 -17.75 1.33333 0.00240743
  102 -17.25 1.23529 0.00223042
  103 -16.75 1.45098 0.00261985
  104 -16.25 2.31373 0.00417761
  105 -15.75 1.88235 0.00339873
  106 -15.25 1.54902 0.00279687
  107 -14.75 1 0.00180558
  108 -14.25 1.47059 0.00265526
  109 -13.75 1.41176 0.00254905
  110 -13.25 1.45098 0.00261985
  111 -12.75 1.19608 0.00215961
  112 -12.25 1.68627 0.0030447
  113 -11.75 1.56863 0.00283228
  114 -11.25 2.05882 0.00371736
  115 -10.75 1.86275 0.00336333
  116 -10.25 2.03922 0.00368196
  117 -9.75 2.33333 0.00421301
  118 -9.25 1.70588 0.0030801
  119 -8.75 1.03922 0.00187638
  120 -8.25 1.09804 0.00198259
  121 -7.75 1.05882 0.00191179
  122 -7.25 1.7451 0.00315091
  123 -6.75 2.03922 0.00368196
  124 -6.25 1.37255 0.00247824
  125 -5.75 1.37255 0.00247824
  126 -5.25 1.21569 0.00219501
  127 -4.75 1.15686 0.0020888
  128 -4.25 0.921569 0.00166396
  129 -3.75 1.39216 0.00251364
  130 -3.25 1.92157 0.00346954
  131 -2.75 1.7451 0.00315091
  132 -2.25 1.56863 0.00283228
  133 -1.75 1.56863 0.00283228
  134 -1.25 2.07843 0.00375277
  135 -0.75 1.4902 0.00269066
  136 -0.25 1.05882 0.00191179
  137 0.25 0.941176 0.00169937
  138 0.75 1.21569 0.00219501
  139 1.25 1.68627 0.0030447
  140 1.75 1.47059 0.00265526
  141 2.25 1.58824 0.00286768
  142 2.75 2.62745 0.00474406
  143 3.25 2.29412 0.0041422
  144 3.75 2.01961 0.00364655
  145 4.25 1.19608 0.00215961
  146 4.75 0.901961 0.00162856
  147 5.25 0.960784 0.00173477
  148 5.75 1.2549 0.00226582
  149 6.25 1.03922 0.00187638
  150 6.75 0.54902 0.000991296
  151 7.25 0.588235 0.0010621
  152 7.75 1.05882 0.00191179
  153 8.25 1.56863 0.00283228
  154 8.75 1.72549 0.0031155
  155 9.25 1.33333 0.00240743
  156 9.75 1.43137 0.00258445
  157 10.25 2.21569 0.00400059
  158 10.75 2.15686 0.00389438
  159 11.25 2.01961 0.00364655
  160 11.75 2.33333 0.00421301
  161 12.25 1.98039 0.00357575
  162 12.75 1.39216 0.00251364
  163 13.25 1.19608 0.00215961
  164 13.75 1.7451 0.00315091
  165 14.25 2.03922 0.00368196
  166 14.75 1.47059 0.00265526
  167 15.25 1.23529 0.00223042
  168 15.75 1.72549 0.0031155
  169 16.25 1.31373 0.00237203
  170 16.75 1.33333 0.00240743
  171 17.25 1.11765 0.002018
  172 17.75 0.882353 0.00159315
  173 18.25 1.2549 0.00226582
  174 18.75 1.88235 0.00339873
  175 19.25 1.7451 0.00315091
  176 19.75 1.80392 0.00325712
  177 20.25 1.41176 0.00254905
  178 20.75 1.88235 0.00339873
  179 21.25 2.29412 0.0041422
  180 21.75 1.58824 0.00286768
  181 22.25 1.80392 0.00325712
  182 22.75 1.43137 0.00258445
  183 23.25 1.09804 0.00198259
  184 23.75 1.03922 0.00187638
  185 24.25 0.843137 0.00152235
  186 24.75 1.31373 0.00237203
  187 25.25 0.843137 0.00152235
  188 25.75 1.03922 0.00187638
  189 26.25 1.94118 0.00350494
  190 26.75 1.45098 0.00261985
