# Chunk-averaged data for fix chunk1 and group cation
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
5000 272 16320
  1 -67.75 0 0
  2 -67.25 0 0
  3 -66.75 0 0
  4 -66.25 0 0
  5 -65.75 0 0
  6 -65.25 0 0
  7 -64.75 0 0
  8 -64.25 0 0
  9 -63.75 0 0
  10 -63.25 0 0
  11 -62.75 0 0
  12 -62.25 0 0
  13 -61.75 0 0
  14 -61.25 0 0
  15 -60.75 0 0
  16 -60.25 0 0
  17 -59.75 0 0
  18 -59.25 0 0
  19 -58.75 0 0
  20 -58.25 0 0
  21 -57.75 0 0
  22 -57.25 0 0
  23 -56.75 0 0
  24 -56.25 0 0
  25 -55.75 0 0
  26 -55.25 0 0
  27 -54.75 0 0
  28 -54.25 0 0
  29 -53.75 0 0
  30 -53.25 0 0
  31 -52.75 0 0
  32 -52.25 0 0
  33 -51.75 0.0392157 7.08069e-05
  34 -51.25 10.1373 0.0183036
  35 -50.75 5.13725 0.0092757
  36 -50.25 0.627451 0.00113291
  37 -49.75 0.294118 0.000531052
  38 -49.25 0.137255 0.000247824
  39 -48.75 0.156863 0.000283228
  40 -48.25 0.431373 0.000778876
  41 -47.75 0.607843 0.00109751
  42 -47.25 0.54902 0.000991296
  43 -46.75 1.70588 0.0030801
  44 -46.25 2.96078 0.00534592
  45 -45.75 2.43137 0.00439003
  46 -45.25 2.2549 0.0040714
  47 -44.75 2.05882 0.00371736
  48 -44.25 1.60784 0.00290308
  49 -43.75 1.03922 0.00187638
  50 -43.25 0.823529 0.00148694
  51 -42.75 1.29412 0.00233663
  52 -42.25 1.62745 0.00293849
  53 -41.75 1.4902 0.00269066
  54 -41.25 2.15686 0.00389438
  55 -40.75 1.4902 0.00269066
  56 -40.25 0.470588 0.000849683
  57 -39.75 0.470588 0.000849683
  58 -39.25 0.921569 0.00166396
  59 -38.75 1.64706 0.00297389
  60 -38.25 2.05882 0.00371736
  61 -37.75 2.31373 0.00417761
  62 -37.25 1.78431 0.00322171
  63 -36.75 1.66667 0.00300929
  64 -36.25 2.09804 0.00378817
  65 -35.75 0.882353 0.00159315
  66 -35.25 0.882353 0.00159315
  67 -34.75 1.29412 0.00233663
  68 -34.25 1.29412 0.00233663
  69 -33.75 2.13725 0.00385898
  70 -33.25 1.35294 0.00244284
  71 -32.75 1.66667 0.00300929
  72 -32.25 1.64706 0.00297389
  73 -31.75 1.70588 0.0030801
  74 -31.25 1.90196 0.00343413
  75 -30.75 1.13725 0.0020534
  76 -30.25 0.568627 0.0010267
  77 -29.75 1.19608 0.00215961
  78 -29.25 1.45098 0.00261985
  79 -28.75 1.7451 0.00315091
  80 -28.25 2.4902 0.00449624
  81 -27.75 1.41176 0.00254905
  82 -27.25 1.72549 0.0031155
  83 -26.75 1.17647 0.00212421
  84 -26.25 1.07843 0.00194719
  85 -25.75 1.94118 0.00350494
  86 -25.25 0.862745 0.00155775
  87 -24.75 1.35294 0.00244284
  88 -24.25 2.2549 0.0040714
  89 -23.75 2.5098 0.00453164
  90 -23.25 2.11765 0.00382357
  91 -22.75 0.980392 0.00177017
  92 -22.25 0.921569 0.00166396
  93 -21.75 1.13725 0.0020534
  94 -21.25 1 0.00180558
  95 -20.75 2.80392 0.00506269
  96 -20.25 2.70588 0.00488568
  97 -19.75 1.19608 0.00215961
  98 -19.25 0.745098 0.00134533
  99 -18.75 0.666667 0.00120372
  100 -18.25 0.803922 0.00145154
  101 -17.75 1.07843 0.00194719
  102 -17.25 2.35294 0.00424841
  103 -16.75 2.19608 0.00396519
  104 -16.25 1.47059 0.00265526
  105 -15.75 1.90196 0.00343413
  106 -15.25 1.94118 0.00350494
  107 -14.75 1.35294 0.00244284
  108 -14.25 1.66667 0.00300929
  109 -13.75 1.41176 0.00254905
  110 -13.25 1.15686 0.0020888
  111 -12.75 1.68627 0.0030447
  112 -12.25 1.07843 0.00194719
  113 -11.75 1.05882 0.00191179
  114 -11.25 2.47059 0.00446083
  115 -10.75 2.17647 0.00392978
  116 -10.25 1.4902 0.00269066
  117 -9.75 1.19608 0.00215961
  118 -9.25 2.52941 0.00456704
  119 -8.75 1.62745 0.00293849
  120 -8.25 1.41176 0.00254905
  121 -7.75 1.03922 0.00187638
  122 -7.25 0.784314 0.00141614
  123 -6.75 1.23529 0.00223042
  124 -6.25 1.84314 0.00332792
  125 -5.75 1.84314 0.00332792
  126 -5.25 1.47059 0.00265526
  127 -4.75 1.47059 0.00265526
  128 -4.25 0.72549 0.00130993
  129 -3.75 1.41176 0.00254905
  130 -3.25 1.39216 0.00251364
  131 -2.75 1.82353 0.00329252
  132 -2.25 2.72549 0.00492108
  133 -1.75 1.43137 0.00258445
  134 -1.25 0.980392 0.00177017
  135 -0.75 1.70588 0.0030801
  136 -0.25 1.84314 0.00332792
  137 0.25 1.7451 0.00315091
  138 0.75 2.19608 0.00396519
  139 1.25 1.72549 0.0031155
  140 1.75 1.09804 0.00198259
  141 2.25 1.11765 0.002018
  142 2.75 1.39216 0.00251364
  143 3.25 1 0.00180558
  144 3.75 0.647059 0.00116831
  145 4.25 1.07843 0.00194719
  146 4.75 1.09804 0.00198259
  147 5.25 1.82353 0.00329252
  148 5.75 2.11765 0.00382357
  149 6.25 1.60784 0.00290308
  150 6.75 1.07843 0.00194719
  151 7.25 1.80392 0.00325712
  152 7.75 2 0.00361115
  153 8.25 1.39216 0.00251364
  154 8.75 1.17647 0.00212421
  155 9.25 1.01961 0.00184098
  156 9.75 1 0.00180558
  157 10.25 1.17647 0.00212421
  158 10.75 1.92157 0.00346954
  159 11.25 2.52941 0.00456704
  160 11.75 2.31373 0.00417761
  161 12.25 1.92157 0.00346954
  162 12.75 2.35294 0.00424841
  163 13.25 1.64706 0.00297389
  164 13.75 0.941176 0.00169937
  165 14.25 0.647059 0.00116831
  166 14.75 1.13725 0.0020534
  167 15.25 1.37255 0.00247824
  168 15.75 1.72549 0.0031155
  169 16.25 1.66667 0.00300929
  170 16.75 1.47059 0.00265526
  171 17.25 1.21569 0.00219501
  172 17.75 1.82353 0.00329252
  173 18.25 2.03922 0.00368196
  174 18.75 2.05882 0.00371736
  175 19.25 1.94118 0.00350494
  176 19.75 1.01961 0.00184098
  177 20.25 0.823529 0.00148694
  178 20.75 1.23529 0.00223042
  179 21.25 1.31373 0.00237203
  180 21.75 1.76471 0.00318631
  181 22.25 1.64706 0.00297389
  182 22.75 1.19608 0.00215961
  183 23.25 1.80392 0.00325712
  184 23.75 1.05882 0.00191179
  185 24.25 0.803922 0.00145154
  186 24.75 1.52941 0.00276147
  187 25.25 2.37255 0.00428382
  188 25.75 1.39216 0.00251364
  189 26.25 1.29412 0.00233663
