# Chunk-averaged data for fix chunk2 and group anion
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
5000 272 16320
  1 -67.75 0 0
  2 -67.25 0 0
  3 -66.75 0 0
  4 -66.25 0 0
  5 -65.75 0 0
  6 -65.25 0 0
  7 -64.75 0 0
  8 -64.25 0 0
  9 -63.75 0 0
  10 -63.25 0 0
  11 -62.75 0 0
  12 -62.25 0 0
  13 -61.75 0 0
  14 -61.25 0 0
  15 -60.75 0 0
  16 -60.25 0 0
  17 -59.75 0 0
  18 -59.25 0 0
  19 -58.75 0 0
  20 -58.25 0 0
  21 -57.75 0 0
  22 -57.25 0 0
  23 -56.75 0 0
  24 -56.25 0 0
  25 -55.75 0 0
  26 -55.25 0 0
  27 -54.75 0 0
  28 -54.25 0 0
  29 -53.75 0 0
  30 -53.25 0 0
  31 -52.75 0 0
  32 -52.25 0 0
  33 -51.75 0.156863 0.000283228
  34 -51.25 6.94118 0.0125328
  35 -50.75 4.15686 0.00750553
  36 -50.25 1.47059 0.00265526
  37 -49.75 0.607843 0.00109751
  38 -49.25 0.137255 0.000247824
  39 -48.75 0.176471 0.000318631
  40 -48.25 0.607843 0.00109751
  41 -47.75 1.17647 0.00212421
  42 -47.25 1.27451 0.00230122
  43 -46.75 1.62745 0.00293849
  44 -46.25 3.92157 0.00708069
  45 -45.75 3.72549 0.00672665
  46 -45.25 1.90196 0.00343413
  47 -44.75 0.705882 0.00127452
  48 -44.25 0.470588 0.000849683
  49 -43.75 0.529412 0.000955893
  50 -43.25 0.215686 0.000389438
  51 -42.75 0.803922 0.00145154
  52 -42.25 1.39216 0.00251364
  53 -41.75 2.29412 0.0041422
  54 -41.25 2.62745 0.00474406
  55 -40.75 2.5098 0.00453164
  56 -40.25 1.94118 0.00350494
  57 -39.75 1.43137 0.00258445
  58 -39.25 1.35294 0.00244284
  59 -38.75 0.529412 0.000955893
  60 -38.25 0.686275 0.00123912
  61 -37.75 0.705882 0.00127452
  62 -37.25 1.41176 0.00254905
  63 -36.75 1.80392 0.00325712
  64 -36.25 1.60784 0.00290308
  65 -35.75 2.01961 0.00364655
  66 -35.25 1.94118 0.00350494
  67 -34.75 2.07843 0.00375277
  68 -34.25 1.39216 0.00251364
  69 -33.75 1.15686 0.0020888
  70 -33.25 1.15686 0.0020888
  71 -32.75 1.2549 0.00226582
  72 -32.25 0.941176 0.00169937
  73 -31.75 1.33333 0.00240743
  74 -31.25 0.941176 0.00169937
  75 -30.75 1.05882 0.00191179
  76 -30.25 1.80392 0.00325712
  77 -29.75 1.27451 0.00230122
  78 -29.25 1.4902 0.00269066
  79 -28.75 1.05882 0.00191179
  80 -28.25 0.568627 0.0010267
  81 -27.75 1.05882 0.00191179
  82 -27.25 1.56863 0.00283228
  83 -26.75 2.88235 0.00520431
  84 -26.25 2.11765 0.00382357
  85 -25.75 2.21569 0.00400059
  86 -25.25 1.82353 0.00329252
  87 -24.75 2.41176 0.00435462
  88 -24.25 1.17647 0.00212421
  89 -23.75 1.27451 0.00230122
  90 -23.25 1.31373 0.00237203
  91 -22.75 1.13725 0.0020534
  92 -22.25 0.941176 0.00169937
  93 -21.75 1.17647 0.00212421
  94 -21.25 0.843137 0.00152235
  95 -20.75 0.627451 0.00113291
  96 -20.25 1.47059 0.00265526
  97 -19.75 2.41176 0.00435462
  98 -19.25 2.58824 0.00467325
  99 -18.75 2.11765 0.00382357
  100 -18.25 2.19608 0.00396519
  101 -17.75 1.56863 0.00283228
  102 -17.25 1.56863 0.00283228
  103 -16.75 1.27451 0.00230122
  104 -16.25 1.01961 0.00184098
  105 -15.75 0.803922 0.00145154
  106 -15.25 0.705882 0.00127452
  107 -14.75 1.29412 0.00233663
  108 -14.25 1.19608 0.00215961
  109 -13.75 2.17647 0.00392978
  110 -13.25 2.19608 0.00396519
  111 -12.75 2.78431 0.00502729
  112 -12.25 2.27451 0.0041068
  113 -11.75 2.13725 0.00385898
  114 -11.25 1.68627 0.0030447
  115 -10.75 1.88235 0.00339873
  116 -10.25 2.05882 0.00371736
  117 -9.75 1.07843 0.00194719
  118 -9.25 0.862745 0.00155775
  119 -8.75 0.666667 0.00120372
  120 -8.25 1.2549 0.00226582
  121 -7.75 0.745098 0.00134533
  122 -7.25 1.01961 0.00184098
  123 -6.75 1.37255 0.00247824
  124 -6.25 1.47059 0.00265526
  125 -5.75 2.39216 0.00431922
  126 -5.25 2.45098 0.00442543
  127 -4.75 1.92157 0.00346954
  128 -4.25 1.88235 0.00339873
  129 -3.75 1.45098 0.00261985
  130 -3.25 1.45098 0.00261985
  131 -2.75 0.666667 0.00120372
  132 -2.25 0.764706 0.00138073
  133 -1.75 1.05882 0.00191179
  134 -1.25 1.17647 0.00212421
  135 -0.75 0.72549 0.00130993
  136 -0.25 0.980392 0.00177017
  137 0.25 1.84314 0.00332792
  138 0.75 2.41176 0.00435462
  139 1.25 2.66667 0.00481487
  140 1.75 3.31373 0.00598318
  141 2.25 3.01961 0.00545213
  142 2.75 1.33333 0.00240743
  143 3.25 1.35294 0.00244284
  144 3.75 1.17647 0.00212421
  145 4.25 0.745098 0.00134533
  146 4.75 0.196078 0.000354034
  147 5.25 0.372549 0.000672665
  148 5.75 1.15686 0.0020888
  149 6.25 1.2549 0.00226582
  150 6.75 1.13725 0.0020534
  151 7.25 2.09804 0.00378817
  152 7.75 1.23529 0.00223042
  153 8.25 0.960784 0.00173477
  154 8.75 1.54902 0.00279687
  155 9.25 2.70588 0.00488568
  156 9.75 2.7451 0.00495648
  157 10.25 2.4902 0.00449624
  158 10.75 1.64706 0.00297389
  159 11.25 0.980392 0.00177017
  160 11.75 0.882353 0.00159315
  161 12.25 0.843137 0.00152235
  162 12.75 0.705882 0.00127452
  163 13.25 1.03922 0.00187638
  164 13.75 1.05882 0.00191179
  165 14.25 2.17647 0.00392978
  166 14.75 2.70588 0.00488568
  167 15.25 3.15686 0.00569995
  168 15.75 1.35294 0.00244284
  169 16.25 1.01961 0.00184098
  170 16.75 1.17647 0.00212421
  171 17.25 1.29412 0.00233663
  172 17.75 1.56863 0.00283228
  173 18.25 1.54902 0.00279687
  174 18.75 0.823529 0.00148694
  175 19.25 1.52941 0.00276147
  176 19.75 0.941176 0.00169937
  177 20.25 0.607843 0.00109751
  178 20.75 1.31373 0.00237203
  179 21.25 1.76471 0.00318631
  180 21.75 1.43137 0.00258445
  181 22.25 1.84314 0.00332792
  182 22.75 1.62745 0.00293849
  183 23.25 2.05882 0.00371736
  184 23.75 1.4902 0.00269066
  185 24.25 1.27451 0.00230122
  186 24.75 0.764706 0.00138073
  187 25.25 0.862745 0.00155775
  188 25.75 1.35294 0.00244284
  189 26.25 2.23529 0.00403599
