# Chunk-averaged data for fix chunk1 and group cation
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
5000 272 16320
  1 -67.75 0 0
  2 -67.25 0 0
  3 -66.75 0 0
  4 -66.25 0 0
  5 -65.75 0 0
  6 -65.25 0 0
  7 -64.75 0 0
  8 -64.25 0 0
  9 -63.75 0 0
  10 -63.25 0 0
  11 -62.75 0 0
  12 -62.25 0 0
  13 -61.75 0 0
  14 -61.25 0 0
  15 -60.75 0 0
  16 -60.25 0 0
  17 -59.75 0 0
  18 -59.25 0 0
  19 -58.75 0 0
  20 -58.25 0 0
  21 -57.75 0 0
  22 -57.25 0 0
  23 -56.75 0 0
  24 -56.25 0 0
  25 -55.75 0 0
  26 -55.25 0 0
  27 -54.75 0 0
  28 -54.25 0 0
  29 -53.75 0 0
  30 -53.25 0 0
  31 -52.75 0 0
  32 -52.25 0 0
  33 -51.75 0 0
  34 -51.25 0.470588 0.000849683
  35 -50.75 7.29412 0.0131701
  36 -50.25 3.76471 0.00679746
  37 -49.75 1.64706 0.00297389
  38 -49.25 1.01961 0.00184098
  39 -48.75 0.372549 0.000672665
  40 -48.25 0.294118 0.000531052
  41 -47.75 0.137255 0.000247824
  42 -47.25 0 0
  43 -46.75 0.803922 0.00145154
  44 -46.25 3.15686 0.00569995
  45 -45.75 4.35294 0.00785956
  46 -45.25 1.80392 0.00325712
  47 -44.75 1.56863 0.00283228
  48 -44.25 1.72549 0.0031155
  49 -43.75 0.745098 0.00134533
  50 -43.25 0.764706 0.00138073
  51 -42.75 1 0.00180558
  52 -42.25 0.901961 0.00162856
  53 -41.75 1.33333 0.00240743
  54 -41.25 1.98039 0.00357575
  55 -40.75 2.58824 0.00467325
  56 -40.25 1.27451 0.00230122
  57 -39.75 1.37255 0.00247824
  58 -39.25 1.23529 0.00223042
  59 -38.75 0.803922 0.00145154
  60 -38.25 1.09804 0.00198259
  61 -37.75 1.88235 0.00339873
  62 -37.25 1.90196 0.00343413
  63 -36.75 1.58824 0.00286768
  64 -36.25 2 0.00361115
  65 -35.75 1.19608 0.00215961
  66 -35.25 0.901961 0.00162856
  67 -34.75 1.33333 0.00240743
  68 -34.25 1.72549 0.0031155
  69 -33.75 1.70588 0.0030801
  70 -33.25 2.17647 0.00392978
  71 -32.75 1.70588 0.0030801
  72 -32.25 1.19608 0.00215961
  73 -31.75 0.607843 0.00109751
  74 -31.25 0.72549 0.00130993
  75 -30.75 1.07843 0.00194719
  76 -30.25 1.03922 0.00187638
  77 -29.75 1.62745 0.00293849
  78 -29.25 1.47059 0.00265526
  79 -28.75 1.98039 0.00357575
  80 -28.25 1.56863 0.00283228
  81 -27.75 1.2549 0.00226582
  82 -27.25 1.58824 0.00286768
  83 -26.75 1.35294 0.00244284
  84 -26.25 1.82353 0.00329252
  85 -25.75 1.39216 0.00251364
  86 -25.25 2 0.00361115
  87 -24.75 1.90196 0.00343413
  88 -24.25 1.82353 0.00329252
  89 -23.75 1.62745 0.00293849
  90 -23.25 1.96078 0.00354034
  91 -22.75 1.47059 0.00265526
  92 -22.25 0.843137 0.00152235
  93 -21.75 1.37255 0.00247824
  94 -21.25 1.41176 0.00254905
  95 -20.75 1.76471 0.00318631
  96 -20.25 1.68627 0.0030447
  97 -19.75 1.2549 0.00226582
  98 -19.25 1.07843 0.00194719
  99 -18.75 0.921569 0.00166396
  100 -18.25 1.23529 0.00223042
  101 -17.75 0.803922 0.00145154
  102 -17.25 2.01961 0.00364655
  103 -16.75 2.43137 0.00439003
  104 -16.25 1.43137 0.00258445
  105 -15.75 1.33333 0.00240743
  106 -15.25 2.54902 0.00460245
  107 -14.75 2.90196 0.00523971
  108 -14.25 1.39216 0.00251364
  109 -13.75 1.56863 0.00283228
  110 -13.25 1.21569 0.00219501
  111 -12.75 1.05882 0.00191179
  112 -12.25 1.11765 0.002018
  113 -11.75 0.666667 0.00120372
  114 -11.25 1.37255 0.00247824
  115 -10.75 1.23529 0.00223042
  116 -10.25 2.11765 0.00382357
  117 -9.75 2.29412 0.0041422
  118 -9.25 2.29412 0.0041422
  119 -8.75 2.2549 0.0040714
  120 -8.25 1.90196 0.00343413
  121 -7.75 1.80392 0.00325712
  122 -7.25 1.54902 0.00279687
  123 -6.75 0.705882 0.00127452
  124 -6.25 0.686275 0.00123912
  125 -5.75 0.490196 0.000885086
  126 -5.25 0.823529 0.00148694
  127 -4.75 1.70588 0.0030801
  128 -4.25 1.05882 0.00191179
  129 -3.75 1.21569 0.00219501
  130 -3.25 2.07843 0.00375277
  131 -2.75 2.82353 0.0050981
  132 -2.25 2.47059 0.00446083
  133 -1.75 1.09804 0.00198259
  134 -1.25 1.68627 0.0030447
  135 -0.75 1.41176 0.00254905
  136 -0.25 1.56863 0.00283228
  137 0.25 0.921569 0.00166396
  138 0.75 1.07843 0.00194719
  139 1.25 1.5098 0.00272607
  140 1.75 1.7451 0.00315091
  141 2.25 2.62745 0.00474406
  142 2.75 2.01961 0.00364655
  143 3.25 1.56863 0.00283228
  144 3.75 0.803922 0.00145154
  145 4.25 0.686275 0.00123912
  146 4.75 1.80392 0.00325712
  147 5.25 1.80392 0.00325712
  148 5.75 2.23529 0.00403599
  149 6.25 1.72549 0.0031155
  150 6.75 1.15686 0.0020888
  151 7.25 0.54902 0.000991296
  152 7.75 1.15686 0.0020888
  153 8.25 1.54902 0.00279687
  154 8.75 1.03922 0.00187638
  155 9.25 1.13725 0.0020534
  156 9.75 1.05882 0.00191179
  157 10.25 1.07843 0.00194719
  158 10.75 2.21569 0.00400059
  159 11.25 2.72549 0.00492108
  160 11.75 2.11765 0.00382357
  161 12.25 1.56863 0.00283228
  162 12.75 2.17647 0.00392978
  163 13.25 1.82353 0.00329252
  164 13.75 1.72549 0.0031155
  165 14.25 1.27451 0.00230122
  166 14.75 0.745098 0.00134533
  167 15.25 0.431373 0.000778876
  168 15.75 0.901961 0.00162856
  169 16.25 1.19608 0.00215961
  170 16.75 1.64706 0.00297389
  171 17.25 1.45098 0.00261985
  172 17.75 1.35294 0.00244284
  173 18.25 2.17647 0.00392978
  174 18.75 1.54902 0.00279687
  175 19.25 2.27451 0.0041068
  176 19.75 2.17647 0.00392978
  177 20.25 1.72549 0.0031155
  178 20.75 0.686275 0.00123912
  179 21.25 1.03922 0.00187638
  180 21.75 0.705882 0.00127452
  181 22.25 0.784314 0.00141614
  182 22.75 1.15686 0.0020888
  183 23.25 1.29412 0.00233663
  184 23.75 1.62745 0.00293849
  185 24.25 1.39216 0.00251364
  186 24.75 1.70588 0.0030801
  187 25.25 2.45098 0.00442543
  188 25.75 1.78431 0.00322171
  189 26.25 1.35294 0.00244284
  190 26.75 1.78431 0.00322171
