# Chunk-averaged data for fix chunk1 and group den
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
5000 272 32640
  1 -67.75 0 0
  2 -67.25 0 0
  3 -66.75 0 0
  4 -66.25 0 0
  5 -65.75 0 0
  6 -65.25 0 0
  7 -64.75 0 0
  8 -64.25 0 0
  9 -63.75 0 0
  10 -63.25 0 0
  11 -62.75 0 0
  12 -62.25 0 0
  13 -61.75 0 0
  14 -61.25 0 0
  15 -60.75 0 0
  16 -60.25 0 0
  17 -59.75 0 0
  18 -59.25 0 0
  19 -58.75 0 0
  20 -58.25 0 0
  21 -57.75 0 0
  22 -57.25 0 0
  23 -56.75 0 0
  24 -56.25 0 0
  25 -55.75 0 0
  26 -55.25 0 0
  27 -54.75 0 0
  28 -54.25 0 0
  29 -53.75 0 0
  30 -53.25 0 0
  31 -52.75 0 0
  32 -52.25 0 0
  33 -51.75 0.156863 0.000283228
  34 -51.25 7.41176 0.0133825
  35 -50.75 11.451 0.0206756
  36 -50.25 5.23529 0.00945272
  37 -49.75 2.2549 0.0040714
  38 -49.25 1.15686 0.0020888
  39 -48.75 0.54902 0.000991296
  40 -48.25 0.901961 0.00162856
  41 -47.75 1.31373 0.00237203
  42 -47.25 1.27451 0.00230122
  43 -46.75 2.43137 0.00439003
  44 -46.25 7.07843 0.0127806
  45 -45.75 8.07843 0.0145862
  46 -45.25 3.70588 0.00669125
  47 -44.75 2.27451 0.0041068
  48 -44.25 2.19608 0.00396519
  49 -43.75 1.27451 0.00230122
  50 -43.25 0.980392 0.00177017
  51 -42.75 1.80392 0.00325712
  52 -42.25 2.29412 0.0041422
  53 -41.75 3.62745 0.00654964
  54 -41.25 4.60784 0.00831981
  55 -40.75 5.09804 0.0092049
  56 -40.25 3.21569 0.00580616
  57 -39.75 2.80392 0.00506269
  58 -39.25 2.58824 0.00467325
  59 -38.75 1.33333 0.00240743
  60 -38.25 1.78431 0.00322171
  61 -37.75 2.58824 0.00467325
  62 -37.25 3.31373 0.00598318
  63 -36.75 3.39216 0.0061248
  64 -36.25 3.60784 0.00651423
  65 -35.75 3.21569 0.00580616
  66 -35.25 2.84314 0.0051335
  67 -34.75 3.41176 0.0061602
  68 -34.25 3.11765 0.00562915
  69 -33.75 2.86275 0.0051689
  70 -33.25 3.33333 0.00601859
  71 -32.75 2.96078 0.00534592
  72 -32.25 2.13725 0.00385898
  73 -31.75 1.94118 0.00350494
  74 -31.25 1.66667 0.00300929
  75 -30.75 2.13725 0.00385898
  76 -30.25 2.84314 0.0051335
  77 -29.75 2.90196 0.00523971
  78 -29.25 2.96078 0.00534592
  79 -28.75 3.03922 0.00548753
  80 -28.25 2.13725 0.00385898
  81 -27.75 2.31373 0.00417761
  82 -27.25 3.15686 0.00569995
  83 -26.75 4.23529 0.00764714
  84 -26.25 3.94118 0.00711609
  85 -25.75 3.60784 0.00651423
  86 -25.25 3.82353 0.00690367
  87 -24.75 4.31373 0.00778876
  88 -24.25 3 0.00541673
  89 -23.75 2.90196 0.00523971
  90 -23.25 3.27451 0.00591238
  91 -22.75 2.60784 0.00470866
  92 -22.25 1.78431 0.00322171
  93 -21.75 2.54902 0.00460245
  94 -21.25 2.2549 0.0040714
  95 -20.75 2.39216 0.00431922
  96 -20.25 3.15686 0.00569995
  97 -19.75 3.66667 0.00662044
  98 -19.25 3.66667 0.00662044
  99 -18.75 3.03922 0.00548753
  100 -18.25 3.43137 0.0061956
  101 -17.75 2.37255 0.00428382
  102 -17.25 3.58824 0.00647883
  103 -16.75 3.70588 0.00669125
  104 -16.25 2.45098 0.00442543
  105 -15.75 2.13725 0.00385898
  106 -15.25 3.2549 0.00587697
  107 -14.75 4.19608 0.00757634
  108 -14.25 2.58824 0.00467325
  109 -13.75 3.7451 0.00676206
  110 -13.25 3.41176 0.0061602
  111 -12.75 3.84314 0.00693907
  112 -12.25 3.39216 0.0061248
  113 -11.75 2.80392 0.00506269
  114 -11.25 3.05882 0.00552294
  115 -10.75 3.11765 0.00562915
  116 -10.25 4.17647 0.00754093
  117 -9.75 3.37255 0.00608939
  118 -9.25 3.15686 0.00569995
  119 -8.75 2.92157 0.00527511
  120 -8.25 3.15686 0.00569995
  121 -7.75 2.54902 0.00460245
  122 -7.25 2.56863 0.00463785
  123 -6.75 2.07843 0.00375277
  124 -6.25 2.15686 0.00389438
  125 -5.75 2.88235 0.00520431
  126 -5.25 3.27451 0.00591238
  127 -4.75 3.62745 0.00654964
  128 -4.25 2.94118 0.00531052
  129 -3.75 2.66667 0.00481487
  130 -3.25 3.52941 0.00637262
  131 -2.75 3.4902 0.00630181
  132 -2.25 3.23529 0.00584157
  133 -1.75 2.15686 0.00389438
  134 -1.25 2.86275 0.0051689
  135 -0.75 2.13725 0.00385898
  136 -0.25 2.54902 0.00460245
  137 0.25 2.76471 0.00499189
  138 0.75 3.4902 0.00630181
  139 1.25 4.17647 0.00754093
  140 1.75 5.05882 0.00913409
  141 2.25 5.64706 0.0101962
  142 2.75 3.35294 0.00605399
  143 3.25 2.92157 0.00527511
  144 3.75 1.98039 0.00357575
  145 4.25 1.43137 0.00258445
  146 4.75 2 0.00361115
  147 5.25 2.17647 0.00392978
  148 5.75 3.39216 0.0061248
  149 6.25 2.98039 0.00538132
  150 6.75 2.29412 0.0041422
  151 7.25 2.64706 0.00477946
  152 7.75 2.39216 0.00431922
  153 8.25 2.5098 0.00453164
  154 8.75 2.58824 0.00467325
  155 9.25 3.84314 0.00693907
  156 9.75 3.80392 0.00686827
  157 10.25 3.56863 0.00644343
  158 10.75 3.86275 0.00697448
  159 11.25 3.70588 0.00669125
  160 11.75 3 0.00541673
  161 12.25 2.41176 0.00435462
  162 12.75 2.88235 0.00520431
  163 13.25 2.86275 0.0051689
  164 13.75 2.78431 0.00502729
  165 14.25 3.45098 0.00623101
  166 14.75 3.45098 0.00623101
  167 15.25 3.58824 0.00647883
  168 15.75 2.2549 0.0040714
  169 16.25 2.21569 0.00400059
  170 16.75 2.82353 0.0050981
  171 17.25 2.7451 0.00495648
  172 17.75 2.92157 0.00527511
  173 18.25 3.72549 0.00672665
  174 18.75 2.37255 0.00428382
  175 19.25 3.80392 0.00686827
  176 19.75 3.11765 0.00562915
  177 20.25 2.33333 0.00421301
  178 20.75 2 0.00361115
  179 21.25 2.80392 0.00506269
  180 21.75 2.13725 0.00385898
  181 22.25 2.62745 0.00474406
  182 22.75 2.78431 0.00502729
  183 23.25 3.35294 0.00605399
  184 23.75 3.11765 0.00562915
  185 24.25 2.66667 0.00481487
  186 24.75 2.47059 0.00446083
  187 25.25 3.31373 0.00598318
  188 25.75 3.13725 0.00566455
  189 26.25 3.58824 0.00647883
